iter	Passed	Remaining
0	5	4314
1	9	3921
2	13	3715
3	18	3602
4	22	3535
5	26	3469
6	30	3449
7	34	3421
8	38	3387
9	46	3641
10	50	3645
11	55	3621
12	61	3736
13	68	3824
14	72	3776
15	76	3755
16	80	3722
17	87	3792
18	92	3789
19	96	3760
20	100	3733
21	104	3701
22	108	3672
23	113	3660
24	117	3655
25	126	3779
26	131	3774
27	141	3909
28	147	3933
29	156	4027
30	166	4126
31	172	4144
32	179	4179
33	185	4178
34	189	4152
35	197	4196
36	204	4214
37	211	4237
38	217	4238
39	223	4237
40	230	4274
41	235	4256
42	245	4316
43	254	4378
44	260	4374
45	269	4410
46	277	4446
47	287	4500
48	294	4512
49	301	4522
50	307	4523
51	315	4536
52	323	4554
53	328	4544
54	335	4539
55	339	4505
56	343	4475
57	349	4470
58	353	4439
59	359	4436
60	363	4408
61	368	4381
62	372	4352
63	378	4358
64	383	4332
65	388	4317
66	392	4290
67	396	4266
68	400	4242
69	404	4222
70	408	4198
71	412	4174
72	416	4151
73	420	4129
74	425	4112
75	429	4091
76	433	4070
77	438	4060
78	443	4044
79	447	4026
80	451	4007
81	455	3988
82	459	3970
83	463	3954
84	467	3935
85	471	3917
86	475	3899
87	483	3914
88	491	3923
89	495	3906
90	499	3890
91	503	3872
92	507	3856
93	511	3839
94	515	3823
95	519	3807
96	523	3794
97	528	3784
98	532	3769
99	536	3755
100	540	3741
101	544	3727
102	548	3713
103	552	3700
104	558	3695
105	562	3681
106	566	3667
107	570	3653
108	574	3640
109	578	3627
110	582	3618
111	586	3605
112	591	3593
113	595	3581
114	599	3568
115	603	3556
116	607	3544
117	611	3533
118	615	3523
119	619	3511
120	623	3499
121	627	3488
122	632	3481
123	636	3471
124	641	3462
125	645	3453
126	649	3443
127	653	3432
128	657	3422
129	661	3411
130	665	3401
131	670	3391
132	674	3382
133	678	3371
134	682	3361
135	686	3351
136	690	3343
137	694	3333
138	698	3323
139	702	3313
140	707	3304
141	711	3295
142	715	3285
143	726	3310
144	735	3323
145	742	3325
146	748	3322
147	759	3344
148	765	3345
149	771	3341
150	779	3349
151	786	3353
152	790	3344
153	794	3334
154	799	3325
155	803	3315
156	807	3305
157	811	3296
158	815	3286
159	820	3283
160	825	3277
161	831	3273
162	835	3263
163	840	3260
164	845	3252
165	849	3244
166	853	3235
167	857	3226
168	861	3216
169	869	3224
170	874	3217
171	879	3209
172	883	3202
173	891	3206
174	895	3197
175	899	3188
176	904	3181
177	908	3173
178	914	3171
179	918	3163
180	923	3156
181	926	3147
182	931	3139
183	934	3130
184	938	3121
185	943	3114
186	947	3105
187	951	3097
188	956	3091
189	964	3097
190	970	3093
191	974	3085
192	978	3076
193	982	3067
194	986	3059
195	990	3051
196	994	3043
197	998	3035
198	1004	3034
199	1009	3027
200	1013	3020
201	1017	3012
202	1021	3005
203	1026	2998
204	1031	2994
205	1035	2986
206	1039	2978
207	1043	2970
208	1047	2963
209	1051	2955
210	1056	2947
211	1060	2940
212	1064	2932
213	1068	2925
214	1072	2918
215	1076	2911
216	1080	2903
217	1084	2896
218	1088	2888
219	1094	2884
220	1098	2878
221	1102	2871
222	1109	2869
223	1113	2862
224	1117	2855
225	1121	2849
226	1126	2842
227	1130	2835
228	1134	2828
229	1138	2820
230	1142	2813
231	1146	2806
232	1150	2799
233	1154	2792
234	1158	2785
235	1162	2778
236	1166	2771
237	1170	2764
238	1174	2757
239	1178	2750
240	1183	2744
241	1186	2736
242	1190	2727
243	1195	2723
244	1202	2724
245	1208	2721
246	1212	2714
247	1216	2708
248	1220	2701
249	1225	2695
250	1228	2688
251	1232	2681
252	1237	2674
253	1241	2668
254	1245	2661
255	1249	2655
256	1253	2648
257	1257	2642
258	1261	2635
259	1265	2628
260	1270	2622
261	1274	2616
262	1278	2609
263	1282	2602
264	1290	2605
265	1305	2620
266	1320	2635
267	1330	2640
268	1335	2636
269	1343	2636
270	1352	2639
271	1358	2636
272	1364	2633
273	1372	2633
274	1378	2631
275	1386	2633
276	1394	2632
277	1405	2640
278	1412	2636
279	1420	2638
280	1426	2634
281	1432	2632
282	1444	2638
283	1449	2633
284	1459	2636
285	1465	2634
286	1474	2635
287	1481	2632
288	1489	2633
289	1495	2630
290	1502	2628
291	1509	2625
292	1514	2621
293	1518	2614
294	1522	2606
295	1526	2599
296	1529	2591
297	1534	2584
298	1538	2577
299	1542	2570
300	1546	2564
301	1550	2557
302	1554	2550
303	1558	2543
304	1563	2536
305	1567	2529
306	1571	2524
307	1577	2519
308	1581	2513
309	1586	2507
310	1594	2506
311	1603	2507
312	1609	2503
313	1614	2498
314	1618	2492
315	1624	2487
316	1630	2484
317	1634	2477
318	1638	2470
319	1642	2464
320	1646	2457
321	1651	2450
322	1655	2444
323	1659	2437
324	1663	2430
325	1667	2424
326	1677	2426
327	1683	2423
328	1688	2417
329	1692	2410
330	1696	2404
331	1700	2397
332	1705	2391
333	1709	2384
334	1713	2378
335	1717	2371
336	1721	2364
337	1725	2358
338	1729	2352
339	1733	2345
340	1737	2339
341	1741	2332
342	1745	2326
343	1750	2320
344	1754	2313
345	1758	2307
346	1762	2300
347	1766	2294
348	1770	2287
349	1776	2283
350	1780	2277
351	1784	2271
352	1789	2265
353	1793	2259
354	1797	2253
355	1801	2247
356	1805	2240
357	1809	2234
358	1813	2228
359	1818	2222
360	1822	2215
361	1826	2209
362	1830	2203
363	1834	2196
364	1838	2191
365	1842	2184
366	1846	2178
367	1850	2172
368	1854	2166
369	1858	2159
370	1862	2154
371	1867	2148
372	1871	2142
373	1875	2136
374	1879	2130
375	1883	2124
376	1887	2118
377	1891	2111
378	1895	2105
379	1902	2102
380	1907	2097
381	1911	2091
382	1917	2087
383	1921	2081
384	1925	2075
385	1929	2069
386	1933	2063
387	1937	2057
388	1941	2051
389	1945	2045
390	1949	2039
391	1953	2033
392	1959	2029
393	1963	2023
394	1967	2017
395	1972	2011
396	1975	2005
397	1983	2003
398	1987	1997
399	1991	1991
400	1995	1985
401	1999	1979
402	2003	1973
403	2007	1967
404	2011	1961
405	2015	1955
406	2020	1950
407	2024	1944
408	2027	1938
409	2032	1932
410	2035	1927
411	2040	1921
412	2044	1915
413	2048	1909
414	2052	1904
415	2057	1899
416	2062	1894
417	2066	1888
418	2070	1882
419	2075	1877
420	2079	1871
421	2083	1866
422	2087	1860
423	2091	1854
424	2095	1848
425	2099	1843
426	2103	1837
427	2107	1831
428	2111	1826
429	2115	1820
430	2119	1814
431	2123	1809
432	2127	1803
433	2131	1797
434	2135	1792
435	2139	1786
436	2145	1781
437	2149	1776
438	2156	1773
439	2160	1767
440	2165	1762
441	2169	1756
442	2173	1751
443	2177	1746
444	2182	1740
445	2186	1735
446	2190	1729
447	2194	1724
448	2198	1718
449	2202	1713
450	2206	1707
451	2210	1702
452	2214	1696
453	2218	1690
454	2222	1685
455	2226	1679
456	2230	1674
457	2234	1668
458	2238	1663
459	2242	1657
460	2246	1652
461	2251	1646
462	2255	1641
463	2260	1636
464	2265	1631
465	2268	1626
466	2272	1620
467	2277	1615
468	2281	1609
469	2285	1604
470	2288	1598
471	2293	1593
472	2297	1588
473	2301	1582
474	2305	1577
475	2309	1572
476	2313	1566
477	2317	1561
478	2321	1555
479	2325	1550
480	2329	1545
481	2333	1539
482	2339	1535
483	2345	1531
484	2351	1527
485	2356	1522
486	2361	1517
487	2365	1512
488	2374	1510
489	2379	1505
490	2388	1503
491	2393	1498
492	2398	1493
493	2402	1488
494	2408	1484
495	2415	1480
496	2419	1475
497	2426	1471
498	2431	1466
499	2441	1464
500	2448	1461
501	2453	1456
502	2459	1452
503	2468	1449
504	2477	1447
505	2492	1448
506	2506	1448
507	2510	1443
508	2518	1439
509	2522	1434
510	2526	1428
511	2530	1423
512	2541	1422
513	2548	1417
514	2554	1413
515	2561	1410
516	2566	1405
517	2574	1401
518	2582	1398
519	2587	1393
520	2593	1388
521	2601	1385
522	2607	1380
523	2612	1376
524	2622	1373
525	2629	1369
526	2640	1367
527	2647	1363
528	2652	1358
529	2658	1354
530	2663	1349
531	2669	1344
532	2674	1339
533	2680	1335
534	2688	1331
535	2692	1326
536	2696	1320
537	2700	1315
538	2704	1309
539	2708	1304
540	2712	1298
541	2716	1293
542	2720	1287
543	2724	1282
544	2728	1276
545	2734	1271
546	2738	1266
547	2742	1261
548	2746	1255
549	2750	1250
550	2754	1244
551	2758	1239
552	2762	1234
553	2766	1228
554	2771	1223
555	2775	1218
556	2779	1212
557	2783	1207
558	2787	1201
559	2791	1196
560	2795	1190
561	2799	1185
562	2803	1180
563	2807	1174
564	2811	1169
565	2815	1163
566	2821	1159
567	2825	1153
568	2829	1148
569	2834	1143
570	2838	1138
571	2842	1132
572	2846	1127
573	2850	1122
574	2856	1117
575	2860	1112
576	2865	1107
577	2869	1102
578	2875	1097
579	2880	1092
580	2884	1087
581	2887	1081
582	2891	1076
583	2895	1070
584	2899	1065
585	2907	1061
586	2913	1057
587	2918	1052
